compartment,gas_holdup,kLa,epsilon,volume,top_gas_flux,tau,high_tau_fraction,is_top
h0r0,4.650632e-11,1.090498e-07,0.0008535906,0.07667381,8.20363e-10,0.0231254,0.0,False
h0r1,1.080709e-05,0.06728179,0.004613011,0.5281951,0.000458763,0.04674558,0.0,False
h0r2,2.22691e-14,5.413391e-11,0.00303431,0.9227029,5.67469e-13,0.04589423,0.0,False
h0r3,2.020846e-11,1.128299e-07,0.006075995,0.6157643,3.06807e-13,0.06359479,0.0,False
h1r0,1.057149e-05,0.02480337,0.002170674,0.03824334,2.19073e-06,0.03882849,0.0,False
h1r1,0.007943214,39.52082,0.035485,0.2757875,0.00340455,0.1256985,0.0,False
h1r2,1.289829e-09,3.176303e-06,0.003683296,0.4788884,6.48733e-09,0.05127339,0.0,False
h1r3,1.260654e-12,4.671837e-09,0.01269507,0.5800385,3.65907e-13,0.0894011,0.0,False
h2r0,0.004466009,33.35581,0.03426731,0.04915667,6.22217e-13,0.1128597,0.0,False
h2r1,0.00897011,60.80275,0.2047547,0.3717464,0.00119381,0.3330621,4.786602198401163e-11,False
h2r2,0.001805511,9.917861,0.08259232,0.7034448,0.00230079,0.2182444,0.0,False
h2r3,1.293902e-05,0.05391535,0.04246387,0.8668434,7.84654e-05,0.1649555,0.0,False
h3r0,0.0005989748,1.993429,0.01031283,0.1180294,0.000142233,0.08392964,0.0,False
h3r1,0.007644559,28.82215,0.02394767,0.9449213,0.00317659,0.1296304,0.0,False
h3r2,0.002710402,8.427888,0.008348666,1.599839,0.000357692,0.07261966,0.0,False
h3r3,8.427915e-05,0.2258704,0.008364533,1.928873,9.4869e-06,0.06879064,0.0,False
h4r0,0.003219553,16.77361,0.08097958,0.0797978,0.000234177,0.2237331,0.0,False
h4r1,0.005159643,26.47349,0.07558867,0.7268547,0.00370034,0.2024912,2.8202563929650403e-11,False
h4r2,0.0002627694,0.6301393,0.003697789,1.286637,9.40878e-05,0.05062229,0.0,False
h4r3,8.621881e-06,0.01767388,0.003054537,1.518042,8.72272e-07,0.0449978,0.0,False
h5r0,0.002023502,8.070133,0.0325761,0.06840677,6.26342e-05,0.1509861,0.0,False
h5r1,0.004973373,21.47186,0.03783798,0.5375241,0.00362807,0.162285,0.0,False
h5r2,0.0002147381,0.7375307,0.009054576,0.960582,0.000539393,0.07752476,0.0,False
h5r3,9.462661e-07,0.00244917,0.008553231,1.139984,5.66258e-07,0.07540959,0.0,False
h6r0,0.002040604,7.78595,0.02923286,0.06336163,0.000130682,0.1397223,0.0,False
h6r1,0.005627309,23.55821,0.0363318,0.5007082,0.00227337,0.1604792,0.0,False
h6r2,0.001607144,6.52091,0.02359962,0.8772429,0.00231213,0.1261079,0.0,False
h6r3,0.0001170024,0.5417012,0.02526591,1.059433,0.000387185,0.1274295,0.0,False
h7r0,0.00562358,27.30771,0.08714688,0.002943017,0.000638249,0.2439089,0.0,True
h7r1,0.007421661,35.10847,0.0627407,0.02289168,0.00469734,0.2126197,0.0,True
h7r2,0.004689667,21.51841,0.05608658,0.03955449,0.0051215,0.2007933,0.0,True
h7r3,0.002080628,10.02906,0.07445436,0.04847005,0.00255218,0.2237731,0.0,True
