compartment_src,compartment_dest,corrected_flow
h0r0,h0r0,0.0
h0r0,h0r1,0.04336512395450686
h0r0,h0r2,0.0
h0r0,h0r3,0.0
h0r0,h1r0,0.006986953945643301
h0r0,h1r1,0.0
h0r0,h1r2,0.0
h0r0,h1r3,0.0
h0r0,h2r0,0.0
h0r0,h2r1,0.0
h0r0,h2r2,0.0
h0r0,h2r3,0.0
h0r0,h3r0,0.0
h0r0,h3r1,0.0
h0r0,h3r2,0.0
h0r0,h3r3,0.0
h0r0,h4r0,0.0
h0r0,h4r1,0.0
h0r0,h4r2,0.0
h0r0,h4r3,0.0
h0r0,h5r0,0.0
h0r0,h5r1,0.0
h0r0,h5r2,0.0
h0r0,h5r3,0.0
h0r0,h6r0,0.0
h0r0,h6r1,0.0
h0r0,h6r2,0.0
h0r0,h6r3,0.0
h0r0,h7r0,0.0
h0r0,h7r1,0.0
h0r0,h7r2,0.0
h0r0,h7r3,0.0
h0r1,h0r0,0.049749328484500796
h0r1,h0r1,0.0
h0r1,h0r2,0.10468543268710856
h0r1,h0r3,0.0
h0r1,h1r0,0.0
h0r1,h1r1,0.15000396342436081
h0r1,h1r2,0.0
h0r1,h1r3,0.0
h0r1,h2r0,0.0
h0r1,h2r1,0.0
h0r1,h2r2,0.0
h0r1,h2r3,0.0
h0r1,h3r0,0.0
h0r1,h3r1,0.0
h0r1,h3r2,0.0
h0r1,h3r3,0.0
h0r1,h4r0,0.0
h0r1,h4r1,0.0
h0r1,h4r2,0.0
h0r1,h4r3,0.0
h0r1,h5r0,0.0
h0r1,h5r1,0.0
h0r1,h5r2,0.0
h0r1,h5r3,0.0
h0r1,h6r0,0.0
h0r1,h6r1,0.0
h0r1,h6r2,0.0
h0r1,h6r3,0.0
h0r1,h7r0,0.0
h0r1,h7r1,0.0
h0r1,h7r2,0.0
h0r1,h7r3,0.0
h0r2,h0r0,0.0
h0r2,h0r1,0.25195320747842337
h0r2,h0r2,0.0
h0r2,h0r3,0.0028427864997433495
h0r2,h1r0,0.0
h0r2,h1r1,0.0
h0r2,h1r2,0.24617142496146716
h0r2,h1r3,6.470115923685836e-06
h0r2,h2r0,0.0
h0r2,h2r1,0.0
h0r2,h2r2,0.0
h0r2,h2r3,0.0
h0r2,h3r0,0.0
h0r2,h3r1,0.0
h0r2,h3r2,0.0
h0r2,h3r3,0.0
h0r2,h4r0,0.0
h0r2,h4r1,0.0
h0r2,h4r2,0.0
h0r2,h4r3,0.0
h0r2,h5r0,0.0
h0r2,h5r1,0.0
h0r2,h5r2,0.0
h0r2,h5r3,0.0
h0r2,h6r0,0.0
h0r2,h6r1,0.0
h0r2,h6r2,0.0
h0r2,h6r3,0.0
h0r2,h7r0,0.0
h0r2,h7r1,0.0
h0r2,h7r2,0.0
h0r2,h7r3,0.0
h0r3,h0r0,0.0
h0r3,h0r1,0.0
h0r3,h0r2,0.3888209639570519
h0r3,h0r3,0.0
h0r3,h1r0,0.0
h0r3,h1r1,0.0
h0r3,h1r2,0.0
h0r3,h1r3,0.008679014138291762
h0r3,h2r0,0.0
h0r3,h2r1,0.0
h0r3,h2r2,0.0
h0r3,h2r3,0.0
h0r3,h3r0,0.0
h0r3,h3r1,0.0
h0r3,h3r2,0.0
h0r3,h3r3,0.0
h0r3,h4r0,0.0
h0r3,h4r1,0.0
h0r3,h4r2,0.0
h0r3,h4r3,0.0
h0r3,h5r0,0.0
h0r3,h5r1,0.0
h0r3,h5r2,0.0
h0r3,h5r3,0.0
h0r3,h6r0,0.0
h0r3,h6r1,0.0
h0r3,h6r2,0.0
h0r3,h6r3,0.0
h0r3,h7r0,0.0
h0r3,h7r1,0.0
h0r3,h7r2,0.0
h0r3,h7r3,0.0
h1r0,h0r0,0.0006023391789029131
h1r0,h0r1,0.0
h1r0,h0r2,0.0
h1r0,h0r3,0.0
h1r0,h1r0,0.0
h1r0,h1r1,0.025583624485976456
h1r0,h1r2,0.0
h1r0,h1r3,0.0
h1r0,h2r0,0.004107071047740334
h1r0,h2r1,0.0
h1r0,h2r2,0.0
h1r0,h2r3,0.0
h1r0,h3r0,0.0
h1r0,h3r1,0.0
h1r0,h3r2,0.0
h1r0,h3r3,0.0
h1r0,h4r0,0.0
h1r0,h4r1,0.0
h1r0,h4r2,0.0
h1r0,h4r3,0.0
h1r0,h5r0,0.0
h1r0,h5r1,0.0
h1r0,h5r2,0.0
h1r0,h5r3,0.0
h1r0,h6r0,0.0
h1r0,h6r1,0.0
h1r0,h6r2,0.0
h1r0,h6r3,0.0
h1r0,h7r0,0.0
h1r0,h7r1,0.0
h1r0,h7r2,0.0
h1r0,h7r3,0.0
h1r1,h0r0,0.0
h1r1,h0r1,0.009118826828060294
h1r1,h0r2,0.0
h1r1,h0r3,0.0
h1r1,h1r0,0.021909700798736564
h1r1,h1r1,0.0
h1r1,h1r2,0.04847055140103073
h1r1,h1r3,0.0
h1r1,h2r0,0.0
h1r1,h2r1,0.17083732082309813
h1r1,h2r2,0.0
h1r1,h2r3,0.0
h1r1,h3r0,0.0
h1r1,h3r1,0.0
h1r1,h3r2,0.0
h1r1,h3r3,0.0
h1r1,h4r0,0.0
h1r1,h4r1,0.0
h1r1,h4r2,0.0
h1r1,h4r3,0.0
h1r1,h5r0,0.0
h1r1,h5r1,0.0
h1r1,h5r2,0.0
h1r1,h5r3,0.0
h1r1,h6r0,0.0
h1r1,h6r1,0.0
h1r1,h6r2,0.0
h1r1,h6r3,0.0
h1r1,h7r0,0.0
h1r1,h7r1,0.0
h1r1,h7r2,0.0
h1r1,h7r3,0.0
h1r2,h0r0,0.0
h1r2,h0r1,0.0
h1r2,h0r2,0.006084021474120713
h1r2,h0r3,0.0
h1r2,h1r0,0.0
h1r2,h1r1,0.07426088720008235
h1r2,h1r2,0.0
h1r2,h1r3,0.03236086905467924
h1r2,h2r0,0.0
h1r2,h2r1,0.0
h1r2,h2r2,0.2351571308431027
h1r2,h2r3,0.0
h1r2,h3r0,0.0
h1r2,h3r1,0.0
h1r2,h3r2,0.0
h1r2,h3r3,0.0
h1r2,h4r0,0.0
h1r2,h4r1,0.0
h1r2,h4r2,0.0
h1r2,h4r3,0.0
h1r2,h5r0,0.0
h1r2,h5r1,0.0
h1r2,h5r2,0.0
h1r2,h5r3,0.0
h1r2,h6r0,0.0
h1r2,h6r1,0.0
h1r2,h6r2,0.0
h1r2,h6r3,0.0
h1r2,h7r0,0.0
h1r2,h7r1,0.0
h1r2,h7r2,0.0
h1r2,h7r3,0.0
h1r3,h0r0,0.0
h1r3,h0r1,0.0
h1r3,h0r2,0.0013832369946818932
h1r3,h0r3,0.3946571967732609
h1r3,h1r0,0.0
h1r3,h1r1,0.0
h1r3,h1r2,0.053214558961664216
h1r3,h1r3,0.0
h1r3,h2r0,0.0
h1r3,h2r1,0.0
h1r3,h2r2,0.0
h1r3,h2r3,0.008978257677761847
h1r3,h3r0,0.0
h1r3,h3r1,0.0
h1r3,h3r2,0.0
h1r3,h3r3,0.0
h1r3,h4r0,0.0
h1r3,h4r1,0.0
h1r3,h4r2,0.0
h1r3,h4r3,0.0
h1r3,h5r0,0.0
h1r3,h5r1,0.0
h1r3,h5r2,0.0
h1r3,h5r3,0.0
h1r3,h6r0,0.0
h1r3,h6r1,0.0
h1r3,h6r2,0.0
h1r3,h6r3,0.0
h1r3,h7r0,0.0
h1r3,h7r1,0.0
h1r3,h7r2,0.0
h1r3,h7r3,0.0
h2r0,h0r0,0.0
h2r0,h0r1,0.0
h2r0,h0r2,0.0
h2r0,h0r3,0.0
h2r0,h1r0,0.0013963300358824577
h2r0,h1r1,0.0
h2r0,h1r2,0.0
h2r0,h1r3,0.0
h2r0,h2r0,0.0
h2r0,h2r1,0.04878237864266781
h2r0,h2r2,0.0
h2r0,h2r3,0.0
h2r0,h3r0,0.0
h2r0,h3r1,0.0
h2r0,h3r2,0.0
h2r0,h3r3,0.0
h2r0,h4r0,0.0
h2r0,h4r1,0.0
h2r0,h4r2,0.0
h2r0,h4r3,0.0
h2r0,h5r0,0.0
h2r0,h5r1,0.0
h2r0,h5r2,0.0
h2r0,h5r3,0.0
h2r0,h6r0,0.0
h2r0,h6r1,0.0
h2r0,h6r2,0.0
h2r0,h6r3,0.0
h2r0,h7r0,0.0
h2r0,h7r1,0.0
h2r0,h7r2,0.0
h2r0,h7r3,0.0
h2r1,h0r0,0.0
h2r1,h0r1,0.0
h2r1,h0r2,0.0
h2r1,h0r3,0.0
h2r1,h1r0,0.0
h2r1,h1r1,0.00048376937341978803
h2r1,h1r2,0.0
h2r1,h1r3,0.0
h2r1,h2r0,0.022028528743603126
h2r1,h2r1,0.0
h2r1,h2r2,0.4016785136815253
h2r1,h2r3,0.0
h2r1,h3r0,0.0
h2r1,h3r1,0.0
h2r1,h3r2,0.0
h2r1,h3r3,0.0
h2r1,h4r0,0.0
h2r1,h4r1,0.0
h2r1,h4r2,0.0
h2r1,h4r3,0.0
h2r1,h5r0,0.0
h2r1,h5r1,0.0
h2r1,h5r2,0.0
h2r1,h5r3,0.0
h2r1,h6r0,0.0
h2r1,h6r1,0.0
h2r1,h6r2,0.0
h2r1,h6r3,0.0
h2r1,h7r0,0.0
h2r1,h7r1,0.0
h2r1,h7r2,0.0
h2r1,h7r3,0.0
h2r2,h0r0,0.0
h2r2,h0r1,0.0
h2r2,h0r2,0.0
h2r2,h0r3,0.0
h2r2,h1r0,0.0
h2r2,h1r1,0.0
h2r2,h1r2,6.281596614748724e-06
h2r2,h1r3,0.0
h2r2,h2r0,0.0
h2r2,h2r1,0.05443335250612449
h2r2,h2r2,0.0
h2r2,h2r3,0.6923581154800178
h2r2,h3r0,0.0
h2r2,h3r1,0.0
h2r2,h3r2,0.003634399053282106
h2r2,h3r3,2.650825933184144e-05
h2r2,h4r0,0.0
h2r2,h4r1,0.0
h2r2,h4r2,0.0
h2r2,h4r3,0.0
h2r2,h5r0,0.0
h2r2,h5r1,0.0
h2r2,h5r2,0.0
h2r2,h5r3,0.0
h2r2,h6r0,0.0
h2r2,h6r1,0.0
h2r2,h6r2,0.0
h2r2,h6r3,0.0
h2r2,h7r0,0.0
h2r2,h7r1,0.0
h2r2,h7r2,0.0
h2r2,h7r3,0.0
h2r3,h0r0,0.0
h2r3,h0r1,0.0
h2r3,h0r2,0.0
h2r3,h0r3,0.0
h2r3,h1r0,0.0
h2r3,h1r1,0.0
h2r3,h1r2,0.0
h2r3,h1r3,0.41718725103433046
h2r3,h2r0,0.0
h2r3,h2r1,0.0
h2r3,h2r2,0.0003447788901812894
h2r3,h2r3,0.0
h2r3,h3r0,0.0
h2r3,h3r1,0.0
h2r3,h3r2,0.0
h2r3,h3r3,0.29208004856067493
h2r3,h4r0,0.0
h2r3,h4r1,0.0
h2r3,h4r2,0.0
h2r3,h4r3,0.0
h2r3,h5r0,0.0
h2r3,h5r1,0.0
h2r3,h5r2,0.0
h2r3,h5r3,0.0
h2r3,h6r0,0.0
h2r3,h6r1,0.0
h2r3,h6r2,0.0
h2r3,h6r3,0.0
h2r3,h7r0,0.0
h2r3,h7r1,0.0
h2r3,h7r2,0.0
h2r3,h7r3,0.0
h3r0,h0r0,0.0
h3r0,h0r1,0.0
h3r0,h0r2,0.0
h3r0,h0r3,0.0
h3r0,h1r0,0.0
h3r0,h1r1,0.0
h3r0,h1r2,0.0
h3r0,h1r3,0.0
h3r0,h2r0,0.02404313742919134
h3r0,h2r1,0.0
h3r0,h2r2,0.0
h3r0,h2r3,0.0
h3r0,h3r0,0.0
h3r0,h3r1,0.009058202457384812
h3r0,h3r2,0.0
h3r0,h3r3,0.0
h3r0,h4r0,0.027392955825480677
h3r0,h4r1,3.480296745097828e-06
h3r0,h4r2,0.0
h3r0,h4r3,0.0
h3r0,h5r0,0.0
h3r0,h5r1,0.0
h3r0,h5r2,0.0
h3r0,h5r3,0.0
h3r0,h6r0,0.0
h3r0,h6r1,0.0
h3r0,h6r2,0.0
h3r0,h6r3,0.0
h3r0,h7r0,0.0
h3r0,h7r1,0.0
h3r0,h7r2,0.0
h3r0,h7r3,0.0
h3r1,h0r0,0.0
h3r1,h0r1,0.0
h3r1,h0r2,0.0
h3r1,h0r3,0.0
h3r1,h1r0,0.0
h3r1,h1r1,0.0
h3r1,h1r2,0.0
h3r1,h1r3,0.0
h3r1,h2r0,0.0
h3r1,h2r1,0.1501376897738413
h3r1,h2r2,0.0
h3r1,h2r3,0.0
h3r1,h3r0,0.06049362513417644
h3r1,h3r1,0.0
h3r1,h3r2,0.004684161769614643
h3r1,h3r3,0.0
h3r1,h4r0,0.0040696478151817424
h3r1,h4r1,0.12078301418141035
h3r1,h4r2,5.587597736210584e-06
h3r1,h4r3,0.0
h3r1,h5r0,0.0
h3r1,h5r1,0.0
h3r1,h5r2,0.0
h3r1,h5r3,0.0
h3r1,h6r0,0.0
h3r1,h6r1,0.0
h3r1,h6r2,0.0
h3r1,h6r3,0.0
h3r1,h7r0,0.0
h3r1,h7r1,0.0
h3r1,h7r2,0.0
h3r1,h7r3,0.0
h3r2,h0r0,0.0
h3r2,h0r1,0.0
h3r2,h0r2,0.0
h3r2,h0r3,0.0
h3r2,h1r0,0.0
h3r2,h1r1,0.0
h3r2,h1r2,0.0
h3r2,h1r3,0.0
h3r2,h2r0,0.0
h3r2,h2r1,0.0
h3r2,h2r2,0.1132784457018269
h3r2,h2r3,0.0
h3r2,h3r0,0.0
h3r2,h3r1,0.3310537683725831
h3r2,h3r2,0.0
h3r2,h3r3,0.03513119406483439
h3r2,h4r0,0.0
h3r2,h4r1,0.00020966567761288957
h3r2,h4r2,0.010075564007049419
h3r2,h4r3,0.0
h3r2,h5r0,0.0
h3r2,h5r1,0.0
h3r2,h5r2,0.0
h3r2,h5r3,0.0
h3r2,h6r0,0.0
h3r2,h6r1,0.0
h3r2,h6r2,0.0
h3r2,h6r3,0.0
h3r2,h7r0,0.0
h3r2,h7r1,0.0
h3r2,h7r2,0.0
h3r2,h7r3,0.0
h3r3,h0r0,0.0
h3r3,h0r1,0.0
h3r3,h0r2,0.0
h3r3,h0r3,0.0
h3r3,h1r0,0.0
h3r3,h1r1,0.0
h3r3,h1r2,0.0
h3r3,h1r3,0.0
h3r3,h2r0,0.0
h3r3,h2r1,0.0
h3r3,h2r2,0.0
h3r3,h2r3,0.008275714935812554
h3r3,h3r0,0.0
h3r3,h3r1,0.0
h3r3,h3r2,0.40353627938309833
h3r3,h3r3,0.0
h3r3,h4r0,0.0
h3r3,h4r1,0.0
h3r3,h4r2,0.0
h3r3,h4r3,0.049470044989441624
h3r3,h5r0,0.0
h3r3,h5r1,0.0
h3r3,h5r2,0.0
h3r3,h5r3,0.0
h3r3,h6r0,0.0
h3r3,h6r1,0.0
h3r3,h6r2,0.0
h3r3,h6r3,0.0
h3r3,h7r0,0.0
h3r3,h7r1,0.0
h3r3,h7r2,0.0
h3r3,h7r3,0.0
h4r0,h0r0,0.0
h4r0,h0r1,0.0
h4r0,h0r2,0.0
h4r0,h0r3,0.0
h4r0,h1r0,0.0
h4r0,h1r1,0.0
