compartment,gas_holdup,kLa,epsilon,volume,top_gas_flux,tau,high_tau_fraction,is_top
h0r0,0.0004645154,2.919431,0.005840828,0.006292474,0.000158834,0.05094057,0.0,False
h0r1,6.658495e-14,1.596162e-10,0.003139027,0.008437416,1.27981e-11,0.04680451,0.0,False
h0r2,1.1052470000000001e-17,2.955272e-14,0.006873679,0.006832262,1.72046e-19,0.06793725,0.0,False
h1r0,0.006609725,29.8362,0.02224369,0.003134646,0.000155357,0.1077916,0.0,False
h1r1,1.022869e-07,0.0002473492,0.003362112,0.004520514,2.28893e-08,0.0490503,0.0,False
h1r2,8.371702e-18,2.75528e-14,0.01417963,0.006189173,1.5821300000000001e-19,0.09320872,0.0,False
h2r0,0.01416498,91.27353,0.1926197,0.004027257,9.92628e-05,0.3190676,0.0,False
h2r1,0.0009315715,5.058273,0.08487668,0.00613509,6.28736e-05,0.221169,0.0,False
h2r2,3.575425e-06,0.01387043,0.04495369,0.008589374,1.22455e-06,0.170449,0.0,False
h3r0,0.006901152,26.14046,0.02237687,0.01040944,0.000132673,0.1236623,0.0,False
h3r1,0.002466431,7.376243,0.007517552,0.0145208,2.66328e-05,0.06997652,0.0,False
h3r2,4.973826e-05,0.1233998,0.008887195,0.01966331,5.3292e-07,0.0726044,0.0,False
h4r0,0.005655685,26.72191,0.0588791,0.00872482,0.000149736,0.1833951,0.0,False
h4r1,0.0004733603,1.203889,0.004910572,0.01265255,1.35326e-05,0.05753399,0.0,False
h4r2,5.031477e-06,0.01103966,0.006000907,0.01691603,5.83427e-08,0.06260662,0.0,False
h5r0,0.005149828,22.0046,0.03755726,0.005585495,8.49522e-05,0.1594471,0.0,False
h5r1,0.001437785,5.854022,0.02415685,0.008005962,7.61795e-05,0.1271542,0.0,False
h5r2,1.991043e-05,0.06648986,0.01599938,0.01092052,2.74982e-06,0.1023442,0.0,False
h6r0,0.005166031,19.63427,0.02600578,0.006328777,9.45803e-05,0.1347927,0.0,False
h6r1,0.002997998,10.35139,0.01634385,0.008866982,6.9327e-05,0.1053659,0.0,False
h6r2,0.0001381346,0.3654255,0.006005362,0.01225964,5.41373e-06,0.06127971,0.0,False
h7r0,0.006252561,29.52761,0.06417273,0.0003183065,0.000155765,0.2146393,0.0,True
h7r1,0.003215878,14.53755,0.04841348,0.0004332608,0.000112316,0.1854614,0.0,True
h7r2,0.0002046575,0.7933526,0.01949932,0.0006282857,2.46364e-05,0.1163216,0.0,True
