compartment,gas_holdup,kLa,epsilon,volume,top_gas_flux,tau,high_tau_fraction,is_top
h0r0,1.422673e-15,3.269673e-12,0.0008909625,0.7461974,9.30084e-15,0.02397438,0.0,False
h0r1,2.112457e-08,7.735712e-05,0.003567092,5.205465,0.000289404,0.04620807,0.0,False
h0r2,2.721859e-09,7.298644e-06,0.003261982,8.768415,5.77322e-08,0.04769899,0.0,False
h0r3,1.110535e-07,0.0003217468,0.006366374,6.050042,2.87852e-07,0.06524494,0.0,False
h1r0,1.019286e-06,0.002891129,0.002577504,0.4208678,2.56156e-06,0.04228247,0.0,False
h1r1,0.006466015,31.41444,0.02540052,2.967604,0.0159577,0.1102694,0.0,False
h1r2,7.272112e-08,0.0001853509,0.003944582,5.093509,1.77998e-07,0.05302101,0.0,False
h1r3,1.108412e-06,0.003506858,0.0139461,6.199199,6.93628e-07,0.09345333,0.0,False
h2r0,0.00222852,14.40782,0.02178678,0.4941522,1.08781e-13,0.1066574,0.0,False
h2r1,0.006745863,45.3055,0.2090427,3.915425,0.00267991,0.3370152,3.2298365698785527e-10,False
h2r2,0.002924692,16.00675,0.09646513,6.559406,0.0128658,0.240614,0.0,False
h2r3,6.807219e-05,0.3084692,0.04873217,7.971136,0.00151377,0.177911,0.0,False
h3r0,0.001217192,4.26059,0.01400184,1.141647,0.00136531,0.09827789,0.0,False
h3r1,0.007167788,26.4083,0.02218215,8.969012,0.015544,0.1251952,0.0,False
h3r2,0.003138143,10.19593,0.01063409,15.68137,0.00209872,0.08274684,0.0,False
h3r3,0.0002523497,0.7569282,0.00960923,19.31762,0.000100113,0.07366503,0.0,False
h4r0,0.004182584,21.61178,0.08649831,0.8106381,0.00177757,0.229595,0.0,False
h4r1,0.004649433,23.353,0.07409699,7.665261,0.0195052,0.1996915,1.0939167943170068e-10,False
h4r2,0.0003401175,0.8642666,0.004875597,12.9195,0.000514836,0.05879911,0.0,False
h4r3,8.304645e-05,0.2135083,0.00448828,15.64614,0.000140026,0.05489522,0.0,False
h5r0,0.002640206,10.90086,0.03763503,0.6791506,0.000745478,0.16182,0.0,False
h5r1,0.004741716,20.66973,0.03899056,5.232784,0.0194011,0.164338,0.0,False
h5r2,0.0002892025,0.9327665,0.009700584,9.295096,0.00334938,0.08186267,0.0,False
h5r3,0.0002923185,0.8725654,0.01127923,11.33547,0.000122836,0.08730336,0.0,False
h6r0,0.002172359,8.372307,0.03078656,0.686904,0.000460215,0.1442563,0.0,False
h6r1,0.005664404,23.78739,0.03804791,5.367048,0.011383,0.1638686,0.0,False
h6r2,0.002140594,8.67698,0.02593156,9.365227,0.0139535,0.1326696,0.0,False
h6r3,0.0003187064,1.194276,0.02739091,11.39153,0.00196157,0.1337533,0.0,False
h7r0,0.002430756,12.40937,0.09721724,0.02594395,0.000837902,0.2588547,0.0,True
h7r1,0.006367211,32.48171,0.0854588,0.2118799,0.0157902,0.2485881,0.0,True
h7r2,0.004836577,24.12384,0.07673221,0.3466451,0.0215512,0.2353229,0.0,True
h7r3,0.0006999634,3.338809,0.06734836,0.4498058,0.0051977,0.215723,0.0,True
