compartment_src,compartment_dest,corrected_flow
h0r0,h0r0,0.0
h0r0,h0r1,0.27736629975373855
h0r0,h0r2,0.0
h0r0,h0r3,0.0
h0r0,h1r0,0.028010088322716217
h0r0,h1r1,0.0
h0r0,h1r2,0.0
h0r0,h1r3,0.0
h0r0,h2r0,0.0
h0r0,h2r1,0.0
h0r0,h2r2,0.0
h0r0,h2r3,0.0
h0r0,h3r0,0.0
h0r0,h3r1,0.0
h0r0,h3r2,0.0
h0r0,h3r3,0.0
h0r0,h4r0,0.0
h0r0,h4r1,0.0
h0r0,h4r2,0.0
h0r0,h4r3,0.0
h0r0,h5r0,0.0
h0r0,h5r1,0.0
h0r0,h5r2,0.0
h0r0,h5r3,0.0
h0r0,h6r0,0.0
h0r0,h6r1,0.0
h0r0,h6r2,0.0
h0r0,h6r3,0.0
h0r0,h7r0,0.0
h0r0,h7r1,0.0
h0r0,h7r2,0.0
h0r0,h7r3,0.0
h0r1,h0r0,0.30288813879218834
h0r1,h0r1,0.0
h0r1,h0r2,0.4076972580651454
h0r1,h0r3,0.0
h0r1,h1r0,0.0
h0r1,h1r1,0.8961879583741631
h0r1,h1r2,0.0
h0r1,h1r3,0.0
h0r1,h2r0,0.0
h0r1,h2r1,0.0
h0r1,h2r2,0.0
h0r1,h2r3,0.0
h0r1,h3r0,0.0
h0r1,h3r1,0.0
h0r1,h3r2,0.0
h0r1,h3r3,0.0
h0r1,h4r0,0.0
h0r1,h4r1,0.0
h0r1,h4r2,0.0
h0r1,h4r3,0.0
h0r1,h5r0,0.0
h0r1,h5r1,0.0
h0r1,h5r2,0.0
h0r1,h5r3,0.0
h0r1,h6r0,0.0
h0r1,h6r1,0.0
h0r1,h6r2,0.0
h0r1,h6r3,0.0
h0r1,h7r0,0.0
h0r1,h7r1,0.0
h0r1,h7r2,0.0
h0r1,h7r3,0.0
h0r2,h0r0,0.0
h0r2,h0r1,1.329322392067294
h0r2,h0r2,0.0
h0r2,h0r3,0.04924850071460034
h0r2,h1r0,0.0
h0r2,h1r1,0.0
h0r2,h1r2,1.4736543939706555
h0r2,h1r3,0.0
h0r2,h2r0,0.0
h0r2,h2r1,0.0
h0r2,h2r2,0.0
h0r2,h2r3,0.0
h0r2,h3r0,0.0
h0r2,h3r1,0.0
h0r2,h3r2,0.0
h0r2,h3r3,0.0
h0r2,h4r0,0.0
h0r2,h4r1,0.0
h0r2,h4r2,0.0
h0r2,h4r3,0.0
h0r2,h5r0,0.0
h0r2,h5r1,0.0
h0r2,h5r2,0.0
h0r2,h5r3,0.0
h0r2,h6r0,0.0
h0r2,h6r1,0.0
h0r2,h6r2,0.0
h0r2,h6r3,0.0
h0r2,h7r0,0.0
h0r2,h7r1,0.0
h0r2,h7r2,0.0
h0r2,h7r3,0.0
h0r3,h0r0,0.0
h0r3,h0r1,0.0
h0r3,h0r2,2.4090830270388195
h0r3,h0r3,0.0
h0r3,h1r0,0.0
h0r3,h1r1,0.0
h0r3,h1r2,0.0
h0r3,h1r3,0.03266465487760977
h0r3,h2r0,0.0
h0r3,h2r1,0.0
h0r3,h2r2,0.0
h0r3,h2r3,0.0
h0r3,h3r0,0.0
h0r3,h3r1,0.0
h0r3,h3r2,0.0
h0r3,h3r3,0.0
h0r3,h4r0,0.0
h0r3,h4r1,0.0
h0r3,h4r2,0.0
h0r3,h4r3,0.0
h0r3,h5r0,0.0
h0r3,h5r1,0.0
h0r3,h5r2,0.0
h0r3,h5r3,0.0
h0r3,h6r0,0.0
h0r3,h6r1,0.0
h0r3,h6r2,0.0
h0r3,h6r3,0.0
h0r3,h7r0,0.0
h0r3,h7r1,0.0
h0r3,h7r2,0.0
h0r3,h7r3,0.0
h1r0,h0r0,0.002487216707230699
h1r0,h0r1,0.0
h1r0,h0r2,0.0
h1r0,h0r3,0.0
h1r0,h1r0,0.0
h1r0,h1r1,0.16044484660689987
h1r0,h1r2,0.0
h1r0,h1r3,0.0
h1r0,h2r0,0.019505660406216277
h1r0,h2r1,0.0
h1r0,h2r2,0.0
h1r0,h2r3,0.0
h1r0,h3r0,0.0
h1r0,h3r1,0.0
